"country","year","age","value"
"denmark",1966,41,19.3485908571429
"denmark",1966,42,15.3179874285714
"denmark",1966,43,11.287384
"denmark",1966,44,7.25678057142857
"denmark",1966,45,5.7066819047619
"denmark",1966,46,4.65268419047619
"denmark",1966,47,3.59868647619047
"denmark",1966,48,2.54468876190476
"denmark",1966,49,1.49069104761905
"denmark",1966,50,0.436693333333333
"denmark",1967,15,39.2734
"denmark",1967,16,58.026352
"denmark",1967,17,76.779304
"denmark",1967,18,95.532256
"denmark",1967,19,114.285208
"denmark",1967,20,133.03816
"denmark",1967,21,148.458409904762
"denmark",1967,22,147.215149333333
"denmark",1967,23,145.971888761905
"denmark",1967,24,144.728628190476
"denmark",1967,25,143.485367619048
"denmark",1967,26,142.242107047619
"denmark",1967,27,137.480455238095
"denmark",1967,28,125.682020952381
"denmark",1967,29,113.883586666667
"denmark",1967,30,102.085152380952
"denmark",1967,31,90.2867180952381
"denmark",1967,32,78.4882838095238
"denmark",1967,33,68.8005523809524
"denmark",1967,34,61.2235238095238
"denmark",1967,35,53.6464952380952
"denmark",1967,36,46.0694666666667
"denmark",1967,37,38.4924380952381
"denmark",1967,38,30.9154095238095
"denmark",1967,39,25.8374011428571
"denmark",1967,40,22.0089028571429
"denmark",1967,41,18.1804045714286
"denmark",1967,42,14.3519062857143
"denmark",1967,43,10.523408
"denmark",1967,44,6.69490971428571
"denmark",1967,45,5.24734952380952
"denmark",1967,46,4.27597695238095
"denmark",1967,47,3.30460438095238
"denmark",1967,48,2.33323180952381
"denmark",1967,49,1.36185923809524
"denmark",1967,50,0.390486666666667
"denmark",1968,15,36.1066
"denmark",1968,16,54.7777222857143
"denmark",1968,17,73.4488445714286
"denmark",1968,18,92.1199668571428
"denmark",1968,19,110.791089142857
"denmark",1968,20,129.462211428571
"denmark",1968,21,144.890106285714
"denmark",1968,22,144.101864
"denmark",1968,23,143.313621714286
"denmark",1968,24,142.525379428571
"denmark",1968,25,141.737137142857
"denmark",1968,26,140.948894857143
"denmark",1968,27,136.441868571429
"denmark",1968,28,124.497274285714
"denmark",1968,29,112.55268
"denmark",1968,30,100.608085714286
"denmark",1968,31,88.6634914285714
"denmark",1968,32,76.7188971428571
"denmark",1968,33,66.9696857142857
"denmark",1968,34,59.4158571428571
"denmark",1968,35,51.8620285714286
"denmark",1968,36,44.3082
"denmark",1968,37,36.7543714285714
"denmark",1968,38,29.2005428571428
"denmark",1968,39,24.2650045714286
"denmark",1968,40,20.6386114285714
"denmark",1968,41,17.0122182857143
"denmark",1968,42,13.3858251428571
"denmark",1968,43,9.759432
"denmark",1968,44,6.13303885714285
"denmark",1968,45,4.78801714285714
"denmark",1968,46,3.89926971428571
"denmark",1968,47,3.01052228571428
"denmark",1968,48,2.12177485714285
"denmark",1968,49,1.23302742857143
"denmark",1968,50,0.34428
"denmark",1969,15,32.9398
"denmark",1969,16,51.5290925714286
"denmark",1969,17,70.1183851428572
"denmark",1969,18,88.7076777142857
"denmark",1969,19,107.296970285714
"denmark",1969,20,125.886262857143
"denmark",1969,21,141.321802666667
"denmark",1969,22,140.988578666667
"denmark",1969,23,140.655354666667
"denmark",1969,24,140.322130666667
"denmark",1969,25,139.988906666667
"denmark",1969,26,139.655682666667
"denmark",1969,27,135.403281904762
"denmark",1969,28,123.312527619048
