"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"denmark",1960,66,0.5,0.0197869264834023,0.0195930830365882,0.980406916963412,15715,802046,794188.5,11556286.6660333,14.408508571869
"denmark",1960,67,0.5,0.021606493605514,0.0213755680681249,0.978624431931875,16808,786331,777927,10762098.1660333,13.6864732104333
"denmark",1960,68,0.5,0.0250153343862532,0.0247063160080562,0.975293683991944,19012,769523,760017,9984171.16603326,12.9744935057604
"denmark",1960,69,0.5,0.0284241751669925,0.0280258690612898,0.97197413093871,21034,750511,739994,9224154.16603326,12.2904982952059
"denmark",1960,70,0.5,0.0318330159477317,0.0313342835733806,0.968665716426619,22858,729477,718048,8484160.16603326,11.6304697283578
"denmark",1960,71,0.5,0.035241856728471,0.0346316155123894,0.965368384487611,24471,706619,694383.5,7766112.16603326,10.9905227088902
"denmark",1960,72,0.5,0.0386506975092102,0.0379179204720387,0.962082079527961,25866,682148,669215,7071728.66603326,10.3668539173805
"denmark",1960,73,0.5,0.0448745515582132,0.0438897843625844,0.956110215637416,28804,656282,641880,6402513.66603326,9.75573559237227
"denmark",1960,74,0.5,0.0510984056072162,0.0498254061994542,0.950174593800546,31264,627478,611846,5760633.66603326,9.1806145650258
"denmark",1960,75,0.5,0.0573222596562191,0.0557251149032896,0.94427488509671,33224,596214,579602,5148787.66603326,8.6358047044069
"denmark",1960,76,0.5,0.0635461137052221,0.0615892354265069,0.938410764573493,34674,562990,545653,4569185.66603326,8.11592686554514
"denmark",1960,77,0.5,0.0697699677542251,0.0674180888129593,0.932581911187041,35618,528316,510507,4023532.66603326,7.61576909658851
"denmark",1960,78,0.5,0.0798094745760774,0.0767469093219173,0.923253090678083,37813,492698,473791.5,3513025.66603326,7.13018048791198
"denmark",1960,79,0.5,0.0898489813979296,0.0859860996633626,0.914013900336637,39114,454885,435328,3039234.16603326,6.68132421608375
"denmark",1960,80,0.5,0.0998884882197819,0.0951369453950996,0.9048630546049,39555,415771,395993.5,2603906.16603326,6.2628373937414
"denmark",1960,81,0.5,0.109927995041634,0.104200707607053,0.895799292392947,39202,376216,356615,2207912.66603326,5.86873675237964
"denmark",1960,82,0.5,0.119967501863486,0.113178623500627,0.886821376499373,38143,337014,317942.5,1851297.66603326,5.49323667869364
"denmark",1960,83,0.5,0.134654624602894,0.126160572348272,0.873839427651728,37706,298871,280018,1533355.16603326,5.13049163697132
"denmark",1960,84,0.5,0.149341747342301,0.138965101782408,0.861034898217592,36293,261165,243018.5,1253337.16603326,4.79902424150731
"denmark",1960,85,0.5,0.164028870081708,0.151595824204983,0.848404175795017,34089,224872,207827.5,1010318.66603326,4.49286112114117
"denmark",1960,86,0.5,0.178715992821115,0.1640562546105,0.8359437453895,31299,190783,175133.5,802491.166033257,4.20630331860416
"denmark",1960,87,0.5,0.193403115560522,0.176349813847235,0.823650186152765,28125,159484,145421.5,627357.666033257,3.93367150330602
"denmark",1960,88,0.5,0.214859887848575,0.194016686136549,0.805983313863451,25486,131359,118616,481936.166033257,3.66884770768091
"denmark",1960,89,0.5,0.236316660136627,0.211344541986455,0.788655458013545,22376,105873,94685,363320.166033257,3.4316602536365
"denmark",1960,90,0.5,0.25777343242468,0.228343046935272,0.771656953064727,19066,83497,73964,268635.166033257,3.21730320889681
"denmark",1960,91,0.5,0.279230204712733,0.245021502554127,0.754978497445873,15787,64431,56537.5,194671.166033257,3.02138979735309
"denmark",1960,92,0.5,0.300686977000785,0.261388863419191,0.738611136580809,12715,48644,42286.5,138133.666033257,2.8396855939737
"denmark",1960,93,0.5,0.326150335097397,0.280420684919955,0.719579315080045,10075,35929,30891.5,95847.1660332567,2.66768254149174
"denmark",1960,94,0.5,0.351613693194009,0.29904035191804,0.70095964808196,7731,25854,21988.5,64955.6660332567,2.51240295634164
"denmark",1960,95,0.5,0.377077051290621,0.317261109467098,0.682738890532902,5750,18123,15248,42967.1660332567,2.3708638764695
"denmark",1960,96,0.5,0.402540409387232,0.335095641109238,0.664904358890762,4146,12373,10300,27719.1660332567,2.24029467657454
"denmark",1960,97,0.5,0.428003767483844,0.352556098318897,0.647443901681103,2901,8227,6776.5,17419.1660332567,2.11731688747499
"denmark",1960,98,0.5,0.453467125580455,0.369654128113228,0.630345871886772,1969,5326,4341.5,10642.6660332567,1.99824747150896
"denmark",1960,99,0.5,0.478930483677067,0.386400898960794,0.613599101039206,1297,3357,2708.5,6301.16603325674,1.87702294705295
"denmark",1960,100,1.74401263750327,0.573390340468863,1,0,2060,2060,3592.66603325674,3592.66603325674,1.74401263750327
"denmark",1961,0,0.5,0.0180077770268609,0.0178470838733752,0.982152916126625,17847,1e+06,991076.5,74111610.1787933,74.1116101787933
"denmark",1961,1,0.5,0.00102657473925491,0.00102604808173393,0.998973951918266,1008,982153,981649,73120533.6787933,74.4492290700057
"denmark",1961,2,0.5,0.000906123526410519,0.000905713182399143,0.999094286817601,888,981145,980701,72138884.6787933,73.5252023694696
"denmark",1961,3,0.5,0.000785672313566125,0.000785363794271507,0.999214636205728,770,980257,979872,71158183.6787933,72.5913547965414
"denmark",1961,4,0.5,0.000665221100721731,0.000664999914734101,0.999335000085266,652,979487,979161,70178311.6787933,71.6480276703961
"denmark",1961,5,0.5,0.000544769887877337,0.000544621541169378,0.999455378458831,533,978835,978568.5,69199150.6787933,70.6954192267269
"denmark",1961,6,0.5,0.000424318675032943,0.000424228670959157,0.999575771329041,415,978302,978094.5,68220582.1787933,69.7336632029713
"denmark",1961,7,0.5,0.00030386746218855,0.000303821301484629,0.999696178698515,297,977887,977738.5,67242487.6787933,68.7630448904559
"denmark",1961,8,0.5,0.00028635424440656,0.000286313250899248,0.999713686749101,280,977590,977450,66264749.1787933,67.7837837731496
"denmark",1961,9,0.5,0.000268841026624571,0.000268804893732775,0.999731195106267,262,977310,977179,65287299.1787933,66.80306062436
"denmark",1961,10,0.5,0.000251327808842582,0.000251296229977157,0.999748703770023,246,977048,976925,64310120.1787933,65.8208401007865
"denmark",1961,11,0.5,0.000233814591060593,0.000233787259624341,0.999766212740376,228,976802,976688,63333195.1787933,64.8372906472276
"denmark",1961,12,0.5,0.000216301373278604,0.000216277982666274,0.999783722017334,212,976574,976468,62356507.1787933,63.8523114262649
"denmark",1961,13,0.5,0.000249742678238127,0.000249711496429174,0.999750288503571,243,976362,976240.5,61380039.1787933,62.8660672770891
"denmark",1961,14,0.5,0.00028318398319765,0.000283143892290031,0.99971685610771,277,976119,975980.5,60403798.6787933,61.8815930012563
"denmark",1961,15,0.5,0.000316625288157173,0.000316575170304912,0.999683424829695,309,975842,975687.5,59427818.1787933,60.8990166223561
"denmark",1961,16,0.5,0.000350066593116695,0.00035000533052988,0.99964999466947,341,975533,975362.5,58452130.6787933,59.9181480060575
"denmark",1961,17,0.5,0.000383507898076218,0.000383434373020994,0.999616565626979,374,975192,975005,57476768.1787933,58.9389250309614
"denmark",1961,18,0.5,0.000393091128197824,0.000393013883062479,0.999606986116938,383,974818,974626.5,56501763.1787933,57.9613457884377
"denmark",1961,19,0.5,0.00040267435831943,0.000402593301319794,0.99959740669868,393,974435,974238.5,55527136.6787933,56.9839308715238
"denmark",1961,20,0.5,0.000412257588441036,0.000412172627794258,0.999587827372206,401,974042,973841.5,54552898.1787933,56.0067206329843
"denmark",1961,21,0.5,0.000421840818562642,0.000421751862487191,0.999578248137513,411,973641,973435.5,53579056.6787933,55.0295814153197
"denmark",1961,22,0.5,0.000431424048684248,0.000431331005399912,0.9995686689946,419,973230,973020.5,52605621.1787933,54.052609536074
"denmark",1961,23,0.5,0.000468177963951354,0.000468068394297438,0.999531931605703,456,972811,972583,51632600.6787933,53.075675212136
"denmark",1961,24,0.5,0.00050493187921846,0.00050480443329289,0.999495195566707,491,972355,972109.5,50660017.6787933,52.1003313386502
"denmark",1961,25,0.5,0.000541685794485567,0.000541539122460669,0.999458460877539,526,971864,971601,49687908.1787933,51.1264005856717
"denmark",1961,26,0.5,0.000578439709752673,0.00057827246187517,0.999421727538125,562,971338,971057,48716307.1787933,50.1538158486472
"denmark",1961,27,0.5,0.000615193625019779,0.000615004451610784,0.999384995548389,597,970776,970477.5,47745250.1787933,49.1825613517364
"denmark",1961,28,0.5,0.000683296979513944,0.000683063611862544,0.999316936388137,662,970179,969848,46774772.6787933,48.2125181835448
"denmark",1961,29,0.5,0.00075140033400811,0.000751118138797924,0.999248881861202,729,969517,969152.5,45804924.6787933,47.2450969697213
"denmark",1961,30,0.5,0.000819503688502276,0.000819168032890047,0.99918083196711,793,968788,968391.5,44835772.1787933,46.2802720293741
"denmark",1961,31,0.5,0.000887607042996441,0.000887213294611972,0.999112786705388,859,967995,967565.5,43867380.6787933,45.3177761029688
"denmark",1961,32,0.5,0.000955710397490607,0.000955253924436693,0.999044746075563,924,967136,966674,42899815.1787933,44.3575827792506
"denmark",1961,33,0.5,0.00105323029879046,0.0010526759436911,0.998947324056309,1017,966212,965703.5,41933141.1787933,43.3995243060459
"denmark",1961,34,0.5,0.00115075020009031,0.00115008846782307,0.998849911532177,1110,965195,964640,40967437.6787933,42.4447263804654
"denmark",1961,35,0.5,0.00124827010139016,0.00124749149822067,0.998752508501779,1203,964085,963483.5,40002797.6787933,41.4930194731722
"denmark",1961,36,0.5,0.00134579000269,0.00134488503627171,0.998655114963728,1295,962882,962234.5,39039314.1787933,40.5442350971285
"denmark",1961,37,0.5,0.00144330990398985,0.00144226908336374,0.998557730916636,1387,961587,960893.5,38077079.6787933,39.5981639506288
"denmark",1961,38,0.5,0.0015789158541201,0.0015776703497562,0.998422329650244,1514,960200,959443,37116186.1787933,38.6546408860584
"denmark",1961,39,0.5,0.00171452180425035,0.00171305327065816,0.998286946729342,1643,958686,957864.5,36156743.1787933,37.7148964090362
"denmark",1961,40,0.5,0.0018501277543806,0.0018484178497978,0.998151582150202,1769,957043,956158.5,35198878.6787933,36.7787849436162
"denmark",1961,41,0.5,0.00198573370451085,0.0019837640909023,0.998016235909098,1895,955274,954326.5,34242720.1787933,35.8459668940987
"denmark",1961,42,0.5,0.0021213396546411,0.00211909199769783,0.997880908002302,2020,953379,952369,33288393.6787933,34.9162229069376
"denmark",1961,43,0.5,0.00233716584907045,0.00233443786484321,0.997665562135157,2221,951359,950248.5,32336024.6787933,33.9892981290904
"denmark",1961,44,0.5,0.0025529920434998,0.00254973731396202,0.997450262686038,2420,949138,947928,31385776.1787933,33.0676636893616
"denmark",1961,45,0.5,0.00276881823792915,0.00276499036006083,0.997235009639939,2618,946718,945409,30437848.1787933,32.150913132309
"denmark",1961,46,0.5,0.0029846444323585,0.00298019701813974,0.99701980298186,2813,944100,942693.5,29492439.1787933,31.2386814731419
"denmark",1961,47,0.5,0.00320047062678785,0.00319535730319237,0.996804642696808,3008,941287,939783,28549745.6787933,30.330542840593
"denmark",1961,48,0.5,0.0035350721182793,0.00352883477556674,0.996471165224433,3311,938279,936623.5,27609962.6787933,29.4261756671451
"denmark",1961,49,0.5,0.00386967360977076,0.00386220088135764,0.996137799118642,3611,934968,933162.5,26673339.1787933,28.5286118656395
