"country","year","age","ax","mx","qx","px","dx","lx","Lx","Tx","ex"
"sweden",2079,98,0.5,0.265865022130705,0.234669779120999,0.765330220879001,44287,188722,166578.5,532835.645658147,2.8233891420086
"sweden",2079,99,0.5,0.291825683742267,0.254666561957498,0.745333438042502,36783,144435,126043.5,366257.145658147,2.53579219481529
"sweden",2079,100,2.23139045868304,0.448151060299055,1,0,107652,107652,240213.645658147,240213.645658147,2.23139045868304
"sweden",2080,0,0.5,0.00036568673766797,0.00036561988649621,0.999634380113504,366,1e+06,999817,91159410.5893556,91.1594105893556
"sweden",2080,1,0.5,2.1740784043679e-05,2.17405477154026e-05,0.999978259452285,21,999634,999623.5,90159593.5893556,90.1926040824497
"sweden",2080,2,0.5,2.04415708008634e-05,2.04413618740904e-05,0.999979558638126,21,999613,999602.5,89159970.0893556,89.1944883563495
"sweden",2080,3,0.5,1.91423575580478e-05,1.9142174344875e-05,0.999980857825655,19,999592,999582.5,88160367.5893556,88.1963517008495
"sweden",2080,4,0.5,1.78431443152323e-05,1.78429851277529e-05,0.999982157014872,18,999573,999564,87160785.0893556,87.1980186433163
"sweden",2080,5,0.5,1.65439310724167e-05,1.6543794222721e-05,0.999983456205777,16,999555,999547,86161221.0893556,86.1995799024121
"sweden",2080,6,0.5,1.52447178296011e-05,1.5244601629776e-05,0.99998475539837,16,999539,999531,85161674.0893556,85.2009517281022
"sweden",2080,7,0.5,1.39455045867855e-05,1.39454073489144e-05,0.999986054592651,13,999523,999516.5,84162143.0893556,84.202307590076
"sweden",2080,8,0.5,1.48240538025114e-05,1.48239439270402e-05,0.999985176056073,15,999510,999502.5,83162626.5893556,83.2033962535198
"sweden",2080,9,0.5,1.57026030182372e-05,1.57024797333344e-05,0.999984297520267,16,999495,999487,82163124.0893556,82.2046374312583
"sweden",2080,10,0.5,1.65811522339631e-05,1.6581014767798e-05,0.999983418985232,17,999479,999470.5,81163637.0893556,81.2059453869021
"sweden",2080,11,0.5,1.74597014496889e-05,1.74595490304322e-05,0.99998254045097,17,999462,999453.5,80164166.5893556,80.2073181265076
"sweden",2080,12,0.5,1.83382506654148e-05,1.83380825212378e-05,0.999981661917479,18,999445,999436,79164713.0893556,79.2086739033719
"sweden",2080,13,0.5,2.39430306324934e-05,2.39427440015668e-05,0.999976057255998,24,999427,999415,78165277.0893556,78.2100914717689
"sweden",2080,14,0.5,2.9547810599572e-05,2.95473740694656e-05,0.999970452625931,30,999403,999388,77165862.0893556,77.2119576280595
"sweden",2080,15,0.5,3.51525905666505e-05,3.51519727251981e-05,0.999964848027275,35,999373,999355.5,76166474.0893556,76.2142604306456
"sweden",2080,16,0.5,4.07573705337291e-05,4.07565399690285e-05,0.999959243460031,41,999338,999317.5,75167118.5893556,75.2169121852222
"sweden",2080,17,0.5,4.63621505008077e-05,4.63610758012209e-05,0.999953638924199,46,999297,999274,74167801.0893556,74.2199777337024
"sweden",2080,18,0.5,5.14368527719895e-05,5.14355299310993e-05,0.999948564470069,51,999251,999225.5,73168527.0893556,73.2233713945301
"sweden",2080,19,0.5,5.65115550431713e-05,5.65099583103615e-05,0.99994349004169,57,999200,999171.5,72169301.5893556,72.2270832559603
"sweden",2080,20,0.5,6.1586257314353e-05,6.15843609392034e-05,0.999938415639061,61,999143,999112.5,71170130.0893556,71.2311752065075
