"age","asfr","country","cohort"
34,0.232249707066667,"AGO",1933
33,0.2444548802,"AGO",1934
32,0.2578042058,"AGO",1935
31,0.2724437648,"AGO",1936
30,0.2879380988,"AGO",1937
29,0.3032702586,"AGO",1938
28,0.316841765666667,"AGO",1939
27,0.327791664866667,"AGO",1940
26,0.335996533,"AGO",1941
25,0.342070444533333,"AGO",1942
24,0.347365014466667,"AGO",1943
23,0.353969389733333,"AGO",1944
22,0.3614910616,"AGO",1945
21,0.367055858533333,"AGO",1946
20,0.365307999,"AGO",1947
19,0.3484100358,"AGO",1948
18,0.306042874666667,"AGO",1949
17,0.237158842733333,"AGO",1950
16,0.149981690066667,"AGO",1951
15,0.0620065567333333,"AGO",1952
50,0,"AGO",1918
49,0,"AGO",1919
48,0.0080189332,"AGO",1920
47,0.017263948,"AGO",1921
46,0.0285557012,"AGO",1922
45,0.0423094176,"AGO",1923
44,0.0585349024,"AGO",1924
43,0.0768365492,"AGO",1925
42,0.0967052936,"AGO",1926
41,0.117518632,"AGO",1927
40,0.1385406276,"AGO",1928
39,0.1589218948,"AGO",1929
38,0.1776996292,"AGO",1930
37,0.19436675,"AGO",1931
36,0.2088719752,"AGO",1932
35,0.2216197508,"AGO",1933
34,0.2334703016,"AGO",1934
33,0.2457396208,"AGO",1935
32,0.2591591032,"AGO",1936
31,0.2738755992,"AGO",1937
30,0.2894513652,"AGO",1938
29,0.3048641044,"AGO",1939
28,0.318506936,"AGO",1940
27,0.3295143828,"AGO",1941
26,0.337762372,"AGO",1942
25,0.3438682048,"AGO",1943
24,0.3491906012,"AGO",1944
23,0.3558296856,"AGO",1945
22,0.3633908864,"AGO",1946
21,0.3689849308,"AGO",1947
20,0.367227886,"AGO",1948
19,0.3502411132,"AGO",1949
18,0.307651292,"AGO",1950
17,0.2384052376,"AGO",1951
16,0.1507699236,"AGO",1952
15,0.0623324336,"AGO",1953
50,0,"AGO",1919
49,0,"AGO",1920
48,0.0080608556,"AGO",1921
47,0.0173542056666667,"AGO",1922
46,0.0287049912666667,"AGO",1923
45,0.0425306141333333,"AGO",1924
44,0.0588409258666667,"AGO",1925
43,0.0772382552666667,"AGO",1926
42,0.0972108738,"AGO",1927
41,0.118133026,"AGO",1928
40,0.1392649258,"AGO",1929
39,0.159752746733333,"AGO",1930
38,0.178628651933333,"AGO",1931
37,0.19538291,"AGO",1932
36,0.209963968266667,"AGO",1933
35,0.222778389733333,"AGO",1934
34,0.234690896133333,"AGO",1935
33,0.2470243614,"AGO",1936
32,0.2605140006,"AGO",1937
31,0.2753074336,"AGO",1938
30,0.2909646316,"AGO",1939
29,0.3064579502,"AGO",1940
28,0.320172106333333,"AGO",1941
27,0.331237100733333,"AGO",1942
26,0.339528211,"AGO",1943
25,0.345665965066667,"AGO",1944
24,0.351016187933333,"AGO",1945
23,0.357689981466667,"AGO",1946
22,0.3652907112,"AGO",1947
21,0.370914003066667,"AGO",1948
20,0.369147773,"AGO",1949
19,0.3520721906,"AGO",1950
18,0.309259709333333,"AGO",1951
17,0.239651632466667,"AGO",1952
16,0.151558157133333,"AGO",1953
15,0.0626583104666667,"AGO",1954
50,0,"AGO",1920
49,0,"AGO",1921
48,0.008102778,"AGO",1922
47,0.0174444633333333,"AGO",1923
46,0.0288542813333333,"AGO",1924
45,0.0427518106666667,"AGO",1925
44,0.0591469493333333,"AGO",1926
43,0.0776399613333333,"AGO",1927
42,0.097716454,"AGO",1928
41,0.11874742,"AGO",1929
40,0.139989224,"AGO",1930
39,0.160583598666667,"AGO",1931
38,0.179557674666667,"AGO",1932
37,0.19639907,"AGO",1933
36,0.211055961333333,"AGO",1934
35,0.223937028666667,"AGO",1935
34,0.235911490666667,"AGO",1936
33,0.248309102,"AGO",1937
32,0.261868898,"AGO",1938
31,0.276739268,"AGO",1939
30,0.292477898,"AGO",1940
29,0.308051796,"AGO",1941
28,0.321837276666667,"AGO",1942
27,0.332959818666667,"AGO",1943
26,0.34129405,"AGO",1944
25,0.347463725333333,"AGO",1945
24,0.352841774666667,"AGO",1946
23,0.359550277333333,"AGO",1947
22,0.367190536,"AGO",1948
21,0.372843075333333,"AGO",1949
20,0.37106766,"AGO",1950
19,0.353903268,"AGO",1951
18,0.310868126666667,"AGO",1952
17,0.240898027333333,"AGO",1953
16,0.152346390666667,"AGO",1954
15,0.0629841873333333,"AGO",1955
50,0,"AGO",1921
49,0,"AGO",1922
48,0.008128849,"AGO",1923
47,0.0175005822,"AGO",1924
46,0.0289470838,"AGO",1925
45,0.042889285,"AGO",1926
44,0.059337117,"AGO",1927
43,0.0778895668,"AGO",1928
42,0.0980305922,"AGO",1929
41,0.1191291676,"AGO",1930
40,0.1404392664,"AGO",1931
39,0.1610998604,"AGO",1932
38,0.1801349468,"AGO",1933
37,0.1970304944,"AGO",1934
36,0.21173451,"AGO",1935
35,0.2246569884,"AGO",1936
34,0.236669943,"AGO",1937
33,0.2491074064,"AGO",1938
32,0.26271079,"AGO",1939
31,0.2776289616,"AGO",1940
30,0.293418189,"AGO",1941
29,0.3090421576,"AGO",1942
28,0.3228719604,"AGO",1943
27,0.3340302664,"AGO",1944
26,0.3423912988,"AGO",1945
25,0.3485808168,"AGO",1946
24,0.3539761644,"AGO",1947
23,0.3607062398,"AGO",1948
22,0.3683710628,"AGO",1949
21,0.3740417748,"AGO",1950
20,0.3722606482,"AGO",1951
19,0.355041067,"AGO",1952
18,0.3118675644,"AGO",1953
17,0.2416725096,"AGO",1954
16,0.15283618,"AGO",1955
15,0.063186679,"AGO",1956
50,0,"AGO",1922
49,0,"AGO",1923
48,0.00811969466666667,"AGO",1924
47,0.0174808370666667,"AGO",1925
46,0.0289143582666667,"AGO",1926
45,0.04284071,"AGO",1927
44,0.0592698273333333,"AGO",1928
43,0.0778011709333333,"AGO",1929
42,0.0979193037333333,"AGO",1930
41,0.1189939232,"AGO",1931
40,0.140279851466667,"AGO",1932
39,0.1609170328,"AGO",1933
38,0.179930550933333,"AGO",1934
37,0.1968069508,"AGO",1935
36,0.211494293333333,"AGO",1936
35,0.224402105466667,"AGO",1937
34,0.236401412666667,"AGO",1938
33,0.248824741466667,"AGO",1939
32,0.26241267,"AGO",1940
31,0.277313897866667,"AGO",1941
30,0.293085201333333,"AGO",1942
29,0.3086914432,"AGO",1943
28,0.3225055628,"AGO",1944
27,0.3336512248,"AGO",1945
26,0.3420027916,"AGO",1946
25,0.348185310933333,"AGO",1947
